STATEFP,GEOID,NAME,LOGRADE,HIGRADE,Latitiude,Longitude,NCESIDn,BIA_School,BIA
41,4103990,Dayton School District 8,KG,12,45.193976,-123.0652565,4103990,Contains non-reservation school,
41,4104020,Dayville School District 16J,KG,12,44.3851264,-119.496273,4104020,Contains non-reservation school,
41,4104350,North Douglas School District 22,KG,12,43.7325131,-123.4432454,4104350,No School,
41,4104410,Dufur School District 29,KG,12,45.4368881,-121.1338077,4104410,Intersects Reservation,
41,4104500,Eagle Point School District 9,KG,12,42.7748791,-122.7554131,4104500,Contains non-reservation school,
41,4104530,Echo School District 5,KG,12,45.6819388,-119.2326637,4104530,Contains non-reservation school,
41,4104590,Elgin School District 23,KG,12,45.6660646,-117.8942184,4104590,No School,
41,4104620,Elkton School District 34,KG,12,43.6412027,-123.6042323,4104620,No School,
41,4104700,Estacada School District 108,KG,12,45.0986475,-122.0560139,4104700,Contains non-reservation school,
41,4104740,Eugene School District 4J,KG,12,44.1429946,-123.0582407,4104740,Contains non-reservation school,
41,4104950,Fern Ridge School District 28J,KG,12,44.0136818,-123.5223614,4104950,Contains non-reservation school,
41,4105080,Enterprise School District 21,KG,12,45.7675945,-117.1601225,4105080,Contains non-reservation school,
41,4105100,Siuslaw School District 97J,KG,12,44.0106633,-124.0842489,4105100,Contains non-reservation school,
41,4105160,Forest Grove School District 15,KG,12,45.5570098,-123.2581874,4105160,Contains non-reservation school,
41,4105250,Fossil School District 21J,KG,12,44.9231589,-120.2196697,4105250,Contains non-reservation school,
41,4105430,Gaston School District 511J,KG,12,45.44811,-123.2750916,4105430,Contains non-reservation school,
41,4105610,Gladstone School District 115,KG,12,45.3856499,-122.5928265,4105610,No School,
41,4105640,Glendale School District 77,KG,12,42.7752691,-123.3547585,4105640,Contains non-reservation school,
41,4105670,Glide School District 12,KG,12,43.2802522,-122.6249232,4105670,Contains non-reservation school,
41,4105760,Central Curry School District 1,KG,12,42.525744,-124.1865995,4105760,Contains non-reservation school,
41,4105910,Grants Pass School District 7,KG,12,42.4293373,-123.3443326,4105910,Contains non-reservation school,
41,4106000,Gresham-Barlow School District 1J,KG,12,45.4655943,-122.3908811,4106000,Contains non-reservation school,
41,4106120,Harper School District 66,KG,12,43.7959757,-117.7611438,4106120,Contains non-reservation school,
41,4106270,Helix School District 1,KG,12,45.9095477,-118.7904971,4106270,Contains non-reservation school,
41,4106300,Hermiston School District 8,KG,12,45.8608244,-119.2169919,4106300,Contains non-reservation school,
41,4106510,Hood River County School District 1,KG,12,45.5117753,-121.6559762,4106510,Contains non-reservation school,
41,4106600,Huntington School District 16J,KG,12,44.4549121,-117.3293124,4106600,No School,
41,4106630,Imbler School District 11,KG,12,45.4985235,-117.9863469,4106630,No School,
41,4106710,Jefferson School District 14J,KG,12,44.7493954,-123.0275932,4106710,No School,
41,4106740,Jefferson County School District 509J,KG,12,44.8022764,-121.2606462,4106740,Contains non-reservation school,
41,4106750,Jewell School District 8,KG,12,45.9030945,-123.5574721,4106750,Contains non-reservation school,
41,4106780,John Day School District 3,KG,12,44.2137154,-119.1141867,4106780,No School,
41,4106820,Jordan Valley School District 3,KG,12,43.0672871,-117.2747209,4106820,Contains non-reservation school,
41,4106870,Joseph School District 6,KG,12,45.4357264,-116.9015554,4106870,No School,
41,4106900,Three Rivers School District,KG,12,42.3491489,-123.5215715,4106900,Contains non-reservation school,
41,4106930,Junction City School District 69,KG,12,44.2061576,-123.3070793,4106930,Contains non-reservation school,
41,4107020,Klamath County School District,KG,12,42.6837613,-121.6461682,4107020,Contains non-reservation school,
41,4107080,Klamath Falls City Schools,KG,12,42.2641609,-121.8019191,4107080,Contains non-reservation school,
41,4107200,La Grande School District 1,KG,12,45.2662958,-118.2891073,4107200,Contains non-reservation school,
41,4107230,Lake Oswego School District 7J,KG,12,45.4123049,-122.6991542,4107230,Contains non-reservation school,
41,4107280,Lakeview School District 7,KG,12,42.3653864,-120.400313,4107280,Contains non-reservation school,
41,4107380,Lebanon Community School District 9,KG,12,44.532241,-122.8210443,4107380,Contains non-reservation school,
41,4107500,Lincoln County School District,KG,12,44.6066258,-123.9130127,4107500,Contains non-reservation school,
41,4107530,Long Creek School District 17,KG,12,44.7773512,-119.006399,4107530,No School,
41,4107590,Lowell School District 71,KG,12,43.9411012,-122.5839671,4107590,Contains non-reservation school,
41,4107710,Mapleton School District 32,KG,12,44.0737109,-123.8281992,4107710,Contains non-reservation school,
41,4107740,Marcola School District 79J,KG,12,44.2142867,-122.786594,4107740,Contains non-reservation school,
41,4107880,McDermitt School District 51,KG,12,42.3071136,-117.6338573,4107880,Intersects Reservation,
41,4107980,McKenzie School District 68,KG,12,44.1224391,-122.150474,4107980,Contains non-reservation school,
41,4108010,McMinnville School District 40,KG,12,45.2119166,-123.2820914,4108010,Contains non-reservation school,
41,4108040,Medford School District 549,KG,12,42.205381,-122.993269,4108040,Contains non-reservation school,
41,4108100,Santiam Canyon School District 129J,KG,12,44.7133366,-122.1936128,4108100,Contains non-reservation school,
